client_name,policy_number,policy_status,policy_start_date,policy_end_date,product_group,account_exe_id,exe_name,branch_name,solution_group,income_class,amount,income_due_date,revenue_transaction_type,renewal_status,lapse_reason,last_updated_date,lapse_reason_clean,opportunity_name,opportunity_id,account_executive,premium_amount,revenue_amount,closing_date,stage,branch,specialty,product_sub_group,risk_details,invoice_number,invoice_date,global_attendees,meeting_date,employee_name,new_role2,new_budget,cross_sell_bugdet,renewal_budget
A,2414 2022 4088 1000 000,Active,19-04-2018,18-04-2019,Marine,1,Vinay,Ahmedabad,Marine,Renewal,32186.72,19-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,BL - Marine STOP,OPP1900001048,Vinay,0,100000,30-06-2020,Qualify Opportunity,Ahmedabad,Marine,Marine Hull,Charterers' Liability Policy,,,Sophia Garcia,02-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
A,2414 2022 4088 1000 000,Active,19-04-2018,18-04-2019,Marine,1,Vinay,Ahmedabad,Marine,Renewal,32186.72,19-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,BL - Marine STOP,OPP1900001048,Vinay,0,100000,30-06-2020,Qualify Opportunity,Ahmedabad,Marine,Marine Hull,Charterers' Liability Policy,,,James Miller,03-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
A,2414 2022 4088 1000 000,Active,19-04-2018,18-04-2019,Marine,1,Vinay,Ahmedabad,Marine,Renewal,32186.72,19-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,BL - Marine STOP,OPP1900001048,Vinay,0,100000,30-06-2020,Qualify Opportunity,Ahmedabad,Marine,Marine Hull,Charterers' Liability Policy,,,Mia Rodriguez,06-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
A,2414 2022 4088 1000 000,Active,19-04-2018,18-04-2019,Marine,1,Vinay,Ahmedabad,Marine,Renewal,32186.72,19-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,BL - Marine STOP,OPP1900001048,Vinay,0,100000,30-06-2020,Qualify Opportunity,Ahmedabad,Marine,Marine Hull,Charterers' Liability Policy,,,Benjamin Anderson,07-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
A,2414 2022 4088 1000 000,Active,19-04-2018,18-04-2019,Marine,1,Vinay,Ahmedabad,Marine,Renewal,32186.72,19-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,BL - Marine STOP,OPP1900001048,Vinay,0,100000,30-06-2020,Qualify Opportunity,Ahmedabad,Marine,Marine Hull,Charterers' Liability Policy,,,Charlotte Taylor,08-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
A,2414 2022 4088 1000 000,Active,19-04-2018,18-04-2019,Marine,1,Vinay,Ahmedabad,Marine,Renewal,32186.72,19-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,II-Marine,OPP1900001050,Vinay,0,100000,31-03-2020,Qualify Opportunity,Ahmedabad,Marine,Marine Hull,Charterers' Liability Policy,,,Sophia Garcia,02-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
A,2414 2022 4088 1000 000,Active,19-04-2018,18-04-2019,Marine,1,Vinay,Ahmedabad,Marine,Renewal,32186.72,19-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,II-Marine,OPP1900001050,Vinay,0,100000,31-03-2020,Qualify Opportunity,Ahmedabad,Marine,Marine Hull,Charterers' Liability Policy,,,James Miller,03-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
A,2414 2022 4088 1000 000,Active,19-04-2018,18-04-2019,Marine,1,Vinay,Ahmedabad,Marine,Renewal,32186.72,19-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,II-Marine,OPP1900001050,Vinay,0,100000,31-03-2020,Qualify Opportunity,Ahmedabad,Marine,Marine Hull,Charterers' Liability Policy,,,Mia Rodriguez,06-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
A,2414 2022 4088 1000 000,Active,19-04-2018,18-04-2019,Marine,1,Vinay,Ahmedabad,Marine,Renewal,32186.72,19-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,II-Marine,OPP1900001050,Vinay,0,100000,31-03-2020,Qualify Opportunity,Ahmedabad,Marine,Marine Hull,Charterers' Liability Policy,,,Benjamin Anderson,07-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
A,2414 2022 4088 1000 000,Active,19-04-2018,18-04-2019,Marine,1,Vinay,Ahmedabad,Marine,Renewal,32186.72,19-04-2018,Brokerage,Inception,OTHR - Other,22-01-2020,Other,II-Marine,OPP1900001050,Vinay,0,100000,31-03-2020,Qualify Opportunity,Ahmedabad,Marine,Marine Hull,Charterers' Liability Policy,,,Charlotte Taylor,08-01-2020,Vinay,Hunter & Farmer,12788092,250000,1500000
